model,algorithm,games,wins_X,wins_O,draws
large-3x3x3-e50-b128-q-sp10.pt,Q,10,6,4,0
large-3x3x3-e50-b128-sarsa-sp10.pt,SARSA,10,8,2,0
large-3x3x3-e50-b128-q-sp50.pt,Q,50,33,17,0
large-3x3x3-e50-b128-sarsa-sp50.pt,SARSA,50,28,22,0
large-3x3x3-e50-b128-q-sp100.pt,Q,100,47,53,0
large-3x3x3-e50-b128-sarsa-sp100.pt,SARSA,100,58,42,0
large-3x3x3-e50-b256-q-sp10.pt,Q,10,9,1,0
large-3x3x3-e50-b256-sarsa-sp10.pt,SARSA,10,7,3,0
large-3x3x3-e50-b256-q-sp50.pt,Q,50,27,23,0
large-3x3x3-e50-b256-sarsa-sp50.pt,SARSA,50,26,24,0
large-3x3x3-e50-b256-q-sp100.pt,Q,100,49,51,0
large-3x3x3-e50-b256-sarsa-sp100.pt,SARSA,100,51,49,0
large-3x3x3-e50-b64-q-sp10.pt,Q,10,9,1,0
large-3x3x3-e50-b64-sarsa-sp10.pt,SARSA,10,7,3,0
large-3x3x3-e50-b64-q-sp50.pt,Q,50,19,31,0
large-3x3x3-e50-b64-sarsa-sp50.pt,SARSA,50,23,27,0
large-3x3x3-e50-b64-q-sp100.pt,Q,100,27,73,0
large-3x3x3-e50-b64-sarsa-sp100.pt,SARSA,100,44,56,0
large-4x4-e100-b128-q-sp10.pt,Q,10,0,2,8
large-4x4-e100-b128-sarsa-sp10.pt,SARSA,10,3,1,6
large-4x4-e100-b128-q-sp50.pt,Q,50,11,8,31
large-4x4-e100-b128-sarsa-sp50.pt,SARSA,50,10,12,28
large-4x4-e100-b128-q-sp100.pt,Q,100,28,16,56
large-4x4-e100-b128-sarsa-sp100.pt,SARSA,100,21,35,44
large-4x4-e100-b256-q-sp10.pt,Q,10,2,1,7
large-4x4-e100-b256-sarsa-sp10.pt,SARSA,10,1,1,8
large-4x4-e100-b256-q-sp50.pt,Q,50,17,13,20
large-4x4-e100-b256-sarsa-sp50.pt,SARSA,50,21,13,16
large-4x4-e100-b256-q-sp100.pt,Q,100,20,22,58
large-4x4-e100-b256-sarsa-sp100.pt,SARSA,100,32,26,42
large-4x4-e100-b64-q-sp10.pt,Q,10,0,4,6
large-4x4-e100-b64-sarsa-sp10.pt,SARSA,10,1,5,4
large-4x4-e100-b64-q-sp50.pt,Q,50,1,24,25
large-4x4-e100-b64-sarsa-sp50.pt,SARSA,50,9,16,25
