model,algorithm,games,wins_X,wins_O,draws
medium-3x3x3-e100-b64-sarsa-sp10.pt,SARSA,10,7,3,0
medium-3x3x3-e100-b64-q-sp50.pt,Q,50,20,30,0
medium-3x3x3-e100-b64-sarsa-sp50.pt,SARSA,50,22,28,0
medium-3x3x3-e100-b64-q-sp100.pt,Q,100,54,46,0
medium-3x3x3-e100-b64-sarsa-sp100.pt,SARSA,100,54,46,0
medium-3x3x3-e20-b128-q-sp10.pt,Q,10,6,4,0
medium-3x3x3-e20-b128-sarsa-sp10.pt,SARSA,10,3,7,0
medium-3x3x3-e20-b128-q-sp50.pt,Q,50,24,26,0
medium-3x3x3-e20-b128-sarsa-sp50.pt,SARSA,50,32,18,0
medium-3x3x3-e20-b128-q-sp100.pt,Q,100,43,57,0
medium-3x3x3-e20-b128-sarsa-sp100.pt,SARSA,100,49,51,0
medium-3x3x3-e20-b256-q-sp10.pt,Q,10,7,3,0
medium-3x3x3-e20-b256-sarsa-sp10.pt,SARSA,10,9,1,0
medium-3x3x3-e20-b256-q-sp50.pt,Q,50,31,19,0
medium-3x3x3-e20-b256-sarsa-sp50.pt,SARSA,50,40,10,0
medium-3x3x3-e20-b256-q-sp100.pt,Q,100,82,18,0
medium-3x3x3-e20-b256-sarsa-sp100.pt,SARSA,100,61,39,0
medium-3x3x3-e20-b64-q-sp10.pt,Q,10,7,3,0
medium-3x3x3-e20-b64-sarsa-sp10.pt,SARSA,10,10,0,0
medium-3x3x3-e20-b64-q-sp50.pt,Q,50,37,13,0
medium-3x3x3-e20-b64-sarsa-sp50.pt,SARSA,50,35,15,0
medium-3x3x3-e20-b64-q-sp100.pt,Q,100,83,17,0
medium-3x3x3-e20-b64-sarsa-sp100.pt,SARSA,100,83,17,0
medium-3x3x3-e50-b128-q-sp10.pt,Q,10,5,5,0
medium-3x3x3-e50-b128-sarsa-sp10.pt,SARSA,10,3,7,0
medium-3x3x3-e50-b128-q-sp50.pt,Q,50,21,29,0
medium-3x3x3-e50-b128-sarsa-sp50.pt,SARSA,50,24,26,0
medium-3x3x3-e50-b128-q-sp100.pt,Q,100,54,46,0
medium-3x3x3-e50-b128-sarsa-sp100.pt,SARSA,100,52,48,0
medium-3x3x3-e50-b256-q-sp10.pt,Q,10,10,0,0
medium-3x3x3-e50-b256-sarsa-sp10.pt,SARSA,10,6,4,0
medium-3x3x3-e50-b256-q-sp50.pt,Q,50,42,8,0
medium-3x3x3-e50-b256-sarsa-sp50.pt,SARSA,50,38,12,0
medium-3x3x3-e50-b256-q-sp100.pt,Q,100,62,38,0
medium-3x3x3-e50-b256-sarsa-sp100.pt,SARSA,100,71,29,0
medium-3x3x3-e50-b64-q-sp10.pt,Q,10,7,3,0
medium-3x3x3-e50-b64-sarsa-sp10.pt,SARSA,10,6,4,0
medium-3x3x3-e50-b64-q-sp50.pt,Q,50,29,21,0
medium-3x3x3-e50-b64-sarsa-sp50.pt,SARSA,50,41,9,0
medium-3x3x3-e50-b64-q-sp100.pt,Q,100,64,36,0
medium-3x3x3-e50-b64-sarsa-sp100.pt,SARSA,100,59,41,0
medium-4x4-e100-b128-q-sp10.pt,Q,10,3,4,3
medium-4x4-e100-b128-sarsa-sp10.pt,SARSA,10,2,5,3
medium-4x4-e100-b128-q-sp50.pt,Q,50,7,5,38
medium-4x4-e100-b128-sarsa-sp50.pt,SARSA,50,2,8,40
medium-4x4-e100-b128-q-sp100.pt,Q,100,7,5,88
medium-4x4-e100-b128-sarsa-sp100.pt,SARSA,100,27,25,48
medium-4x4-e100-b256-q-sp10.pt,Q,10,0,2,8
medium-4x4-e100-b256-sarsa-sp10.pt,SARSA,10,1,3,6
medium-4x4-e100-b256-q-sp50.pt,Q,50,9,13,28
medium-4x4-e100-b256-sarsa-sp50.pt,SARSA,50,12,8,30
medium-4x4-e100-b256-q-sp100.pt,Q,100,39,22,39
medium-4x4-e100-b256-sarsa-sp100.pt,SARSA,100,29,12,59
medium-4x4-e100-b64-q-sp10.pt,Q,10,3,3,4
medium-4x4-e100-b64-sarsa-sp10.pt,SARSA,10,0,7,3
medium-4x4-e100-b64-q-sp50.pt,Q,50,12,20,18
medium-4x4-e100-b64-sarsa-sp50.pt,SARSA,50,12,16,22
medium-4x4-e100-b64-q-sp100.pt,Q,100,10,33,57
medium-4x4-e100-b64-sarsa-sp100.pt,SARSA,100,13,21,66
medium-4x4-e20-b128-q-sp10.pt,Q,10,0,1,9
medium-4x4-e20-b128-sarsa-sp10.pt,SARSA,10,0,3,7
medium-4x4-e20-b128-q-sp50.pt,Q,50,25,8,17
medium-4x4-e20-b128-sarsa-sp50.pt,SARSA,50,24,16,10
medium-4x4-e20-b128-q-sp100.pt,Q,100,20,32,48
medium-4x4-e20-b128-sarsa-sp100.pt,SARSA,100,17,15,68
medium-4x4-e20-b256-q-sp10.pt,Q,10,2,1,7
medium-4x4-e20-b256-sarsa-sp10.pt,SARSA,10,4,5,1
medium-4x4-e20-b256-q-sp50.pt,Q,50,6,13,31
medium-4x4-e20-b256-sarsa-sp50.pt,SARSA,50,7,12,31
medium-4x4-e20-b256-q-sp100.pt,Q,100,22,32,46
medium-4x4-e20-b256-sarsa-sp100.pt,SARSA,100,29,17,54
medium-4x4-e20-b64-q-sp10.pt,Q,10,0,2,8
medium-4x4-e20-b64-sarsa-sp10.pt,SARSA,10,0,1,9
medium-4x4-e20-b64-q-sp50.pt,Q,50,7,2,41
medium-4x4-e20-b64-sarsa-sp50.pt,SARSA,50,4,1,45
medium-4x4-e20-b64-q-sp100.pt,Q,100,12,4,84
medium-4x4-e20-b64-sarsa-sp100.pt,SARSA,100,7,13,80
medium-4x4-e50-b128-q-sp10.pt,Q,10,1,6,3
medium-4x4-e50-b128-sarsa-sp10.pt,SARSA,10,2,5,3
medium-4x4-e50-b128-q-sp50.pt,Q,50,3,21,26
medium-4x4-e50-b128-sarsa-sp50.pt,SARSA,50,9,23,18
medium-4x4-e50-b128-q-sp100.pt,Q,100,27,30,43
medium-4x4-e50-b128-sarsa-sp100.pt,SARSA,100,29,38,33
medium-4x4-e50-b256-q-sp10.pt,Q,10,4,3,3
medium-4x4-e50-b256-sarsa-sp10.pt,SARSA,10,5,1,4
medium-4x4-e50-b256-q-sp50.pt,Q,50,6,10,34
medium-4x4-e50-b256-sarsa-sp50.pt,SARSA,50,10,14,26
medium-4x4-e50-b256-q-sp100.pt,Q,100,17,33,50
medium-4x4-e50-b256-sarsa-sp100.pt,SARSA,100,34,23,43
medium-4x4-e50-b64-q-sp10.pt,Q,10,3,0,7
medium-4x4-e50-b64-sarsa-sp10.pt,SARSA,10,1,2,7
medium-4x4-e50-b64-q-sp50.pt,Q,50,7,2,41
medium-4x4-e50-b64-sarsa-sp50.pt,SARSA,50,9,4,37
medium-4x4-e50-b64-q-sp100.pt,Q,100,33,10,57
medium-4x4-e50-b64-sarsa-sp100.pt,SARSA,100,16,40,44
medium-4x4x4-e100-b128-q-sp10.pt,Q,10,5,5,0
medium-4x4x4-e100-b128-sarsa-sp10.pt,SARSA,10,7,3,0
medium-4x4x4-e100-b128-q-sp50.pt,Q,50,31,19,0
medium-4x4x4-e100-b128-sarsa-sp50.pt,SARSA,50,42,8,0
medium-4x4x4-e100-b128-q-sp100.pt,Q,100,74,26,0
medium-4x4x4-e100-b128-sarsa-sp100.pt,SARSA,100,50,50,0
medium-4x4x4-e100-b256-q-sp10.pt,Q,10,5,5,0
medium-4x4x4-e100-b256-sarsa-sp10.pt,SARSA,10,1,9,0
medium-4x4x4-e100-b256-q-sp50.pt,Q,50,26,24,0
medium-4x4x4-e100-b256-sarsa-sp50.pt,SARSA,50,25,25,0
medium-4x4x4-e100-b256-q-sp100.pt,Q,100,58,42,0
medium-4x4x4-e100-b256-sarsa-sp100.pt,SARSA,100,39,61,0
medium-4x4x4-e100-b64-q-sp10.pt,Q,10,6,4,0
medium-4x4x4-e100-b64-sarsa-sp10.pt,SARSA,10,7,3,0
medium-4x4x4-e100-b64-q-sp50.pt,Q,50,28,22,0
medium-4x4x4-e100-b64-sarsa-sp50.pt,SARSA,50,23,27,0
medium-4x4x4-e100-b64-q-sp100.pt,Q,100,50,50,0
medium-4x4x4-e100-b64-sarsa-sp100.pt,SARSA,100,52,48,0
medium-4x4x4-e20-b128-q-sp10.pt,Q,10,8,2,0
medium-4x4x4-e20-b128-sarsa-sp10.pt,SARSA,10,3,7,0
medium-4x4x4-e20-b128-q-sp50.pt,Q,50,25,25,0
medium-4x4x4-e20-b128-sarsa-sp50.pt,SARSA,50,25,25,0
medium-4x4x4-e20-b128-q-sp100.pt,Q,100,40,60,0
medium-4x4x4-e20-b128-sarsa-sp100.pt,SARSA,100,51,49,0
medium-4x4x4-e20-b256-q-sp10.pt,Q,10,5,5,0
medium-4x4x4-e20-b256-sarsa-sp10.pt,SARSA,10,7,3,0
medium-4x4x4-e20-b256-q-sp50.pt,Q,50,32,18,0
medium-4x4x4-e20-b256-sarsa-sp50.pt,SARSA,50,29,21,0
medium-4x4x4-e20-b256-q-sp100.pt,Q,100,48,52,0
medium-4x4x4-e20-b256-sarsa-sp100.pt,SARSA,100,52,48,0
medium-4x4x4-e20-b64-q-sp10.pt,Q,10,6,4,0
medium-4x4x4-e20-b64-sarsa-sp10.pt,SARSA,10,7,3,0
medium-4x4x4-e20-b64-q-sp50.pt,Q,50,27,23,0
medium-4x4x4-e20-b64-sarsa-sp50.pt,SARSA,50,34,16,0
medium-4x4x4-e20-b64-q-sp100.pt,Q,100,46,54,0
medium-4x4x4-e20-b64-sarsa-sp100.pt,SARSA,100,55,45,0
medium-4x4x4-e50-b128-q-sp10.pt,Q,10,7,3,0
medium-4x4x4-e50-b128-sarsa-sp10.pt,SARSA,10,5,5,0
medium-4x4x4-e50-b128-q-sp50.pt,Q,50,32,18,0
medium-4x4x4-e50-b128-sarsa-sp50.pt,SARSA,50,20,30,0
medium-4x4x4-e50-b128-q-sp100.pt,Q,100,48,52,0
medium-4x4x4-e50-b128-sarsa-sp100.pt,SARSA,100,52,48,0
medium-4x4x4-e50-b256-q-sp10.pt,Q,10,8,2,0
medium-4x4x4-e50-b256-sarsa-sp10.pt,SARSA,10,5,5,0
medium-4x4x4-e50-b256-q-sp50.pt,Q,50,32,18,0
medium-4x4x4-e50-b256-sarsa-sp50.pt,SARSA,50,21,29,0
medium-4x4x4-e50-b256-q-sp100.pt,Q,100,64,36,0
medium-4x4x4-e50-b256-sarsa-sp100.pt,SARSA,100,46,54,0
medium-4x4x4-e50-b64-q-sp10.pt,Q,10,6,4,0
medium-4x4x4-e50-b64-sarsa-sp10.pt,SARSA,10,6,4,0
medium-4x4x4-e50-b64-q-sp50.pt,Q,50,32,18,0
medium-4x4x4-e50-b64-sarsa-sp50.pt,SARSA,50,25,25,0
medium-4x4x4-e50-b64-q-sp100.pt,Q,100,49,51,0
medium-4x4x4-e50-b64-sarsa-sp100.pt,SARSA,100,52,48,0
medium-5x5-e100-b128-q-sp10.pt,Q,10,0,1,9
medium-5x5-e100-b128-sarsa-sp10.pt,SARSA,10,0,0,10
medium-5x5-e100-b128-q-sp50.pt,Q,50,3,7,40
medium-5x5-e100-b128-sarsa-sp50.pt,SARSA,50,5,7,38
medium-5x5-e100-b128-q-sp100.pt,Q,100,22,8,70
medium-5x5-e100-b128-sarsa-sp100.pt,SARSA,100,19,11,70
medium-5x5-e100-b256-q-sp10.pt,Q,10,1,0,9
medium-5x5-e100-b256-sarsa-sp10.pt,SARSA,10,0,2,8
medium-5x5-e100-b256-q-sp50.pt,Q,50,3,2,45
medium-5x5-e100-b256-sarsa-sp50.pt,SARSA,50,9,2,39
medium-5x5-e100-b256-q-sp100.pt,Q,100,36,7,57
medium-5x5-e100-b256-sarsa-sp100.pt,SARSA,100,16,12,72
medium-5x5-e100-b64-q-sp10.pt,Q,10,2,3,5
medium-5x5-e100-b64-sarsa-sp10.pt,SARSA,10,1,2,7
medium-5x5-e100-b64-q-sp50.pt,Q,50,19,4,27
medium-5x5-e100-b64-sarsa-sp50.pt,SARSA,50,18,6,26
medium-5x5-e100-b64-q-sp100.pt,Q,100,35,5,60
medium-5x5-e100-b64-sarsa-sp100.pt,SARSA,100,36,5,59
medium-5x5-e20-b128-q-sp10.pt,Q,10,1,1,8
medium-5x5-e20-b128-sarsa-sp10.pt,SARSA,10,1,0,9
medium-5x5-e20-b128-q-sp50.pt,Q,50,14,6,30
medium-5x5-e20-b128-sarsa-sp50.pt,SARSA,50,9,11,30
medium-5x5-e20-b128-q-sp100.pt,Q,100,15,15,70
medium-5x5-e20-b128-sarsa-sp100.pt,SARSA,100,9,6,85
medium-5x5-e20-b256-q-sp10.pt,Q,10,1,2,7
medium-5x5-e20-b256-sarsa-sp10.pt,SARSA,10,1,5,4
medium-5x5-e20-b256-q-sp50.pt,Q,50,11,6,33
medium-5x5-e20-b256-sarsa-sp50.pt,SARSA,50,13,10,27
medium-5x5-e20-b256-q-sp100.pt,Q,100,28,15,57
medium-5x5-e20-b256-sarsa-sp100.pt,SARSA,100,22,18,60
medium-5x5-e20-b64-q-sp10.pt,Q,10,3,1,6
medium-5x5-e20-b64-sarsa-sp10.pt,SARSA,10,2,2,6
medium-5x5-e20-b64-q-sp50.pt,Q,50,9,2,39
medium-5x5-e20-b64-sarsa-sp50.pt,SARSA,50,3,2,45
medium-5x5-e20-b64-q-sp100.pt,Q,100,16,12,72
medium-5x5-e20-b64-sarsa-sp100.pt,SARSA,100,18,2,80
medium-5x5-e50-b128-q-sp10.pt,Q,10,0,1,9
medium-5x5-e50-b128-sarsa-sp10.pt,SARSA,10,2,0,8
medium-5x5-e50-b128-q-sp50.pt,Q,50,6,1,43
medium-5x5-e50-b128-sarsa-sp50.pt,SARSA,50,6,0,44
medium-5x5-e50-b128-q-sp100.pt,Q,100,10,4,86
medium-5x5-e50-b128-sarsa-sp100.pt,SARSA,100,26,12,62
medium-5x5-e50-b256-q-sp10.pt,Q,10,2,0,8
medium-5x5-e50-b256-sarsa-sp10.pt,SARSA,10,0,0,10
medium-5x5-e50-b256-q-sp50.pt,Q,50,13,0,37
medium-5x5-e50-b256-sarsa-sp50.pt,SARSA,50,15,2,33
medium-5x5-e50-b256-q-sp100.pt,Q,100,18,5,77
medium-5x5-e50-b256-sarsa-sp100.pt,SARSA,100,18,3,79
medium-5x5-e50-b64-q-sp10.pt,Q,10,1,0,9
medium-5x5-e50-b64-sarsa-sp10.pt,SARSA,10,1,0,9
medium-5x5-e50-b64-q-sp50.pt,Q,50,10,3,37
medium-5x5-e50-b64-sarsa-sp50.pt,SARSA,50,14,4,32
medium-5x5-e50-b64-q-sp100.pt,Q,100,13,8,79
medium-5x5-e50-b64-sarsa-sp100.pt,SARSA,100,35,14,51
medium-5x5x5-e100-b128-q-sp10.pt,Q,10,5,5,0
medium-5x5x5-e100-b128-sarsa-sp10.pt,SARSA,10,6,4,0
medium-5x5x5-e100-b128-q-sp50.pt,Q,50,25,25,0
medium-5x5x5-e100-b128-sarsa-sp50.pt,SARSA,50,25,25,0
medium-5x5x5-e100-b128-q-sp100.pt,Q,100,57,43,0
medium-5x5x5-e100-b128-sarsa-sp100.pt,SARSA,100,49,50,1
medium-5x5x5-e100-b256-q-sp10.pt,Q,10,2,8,0
medium-5x5x5-e100-b256-sarsa-sp10.pt,SARSA,10,6,4,0
medium-5x5x5-e100-b256-q-sp50.pt,Q,50,25,25,0
medium-5x5x5-e100-b256-sarsa-sp50.pt,SARSA,50,30,20,0
medium-5x5x5-e100-b256-q-sp100.pt,Q,100,47,53,0
medium-5x5x5-e100-b256-sarsa-sp100.pt,SARSA,100,53,46,1
medium-5x5x5-e100-b64-q-sp10.pt,Q,10,4,6,0
medium-5x5x5-e100-b64-sarsa-sp10.pt,SARSA,10,6,4,0
medium-5x5x5-e100-b64-q-sp50.pt,Q,50,26,24,0
medium-5x5x5-e100-b64-sarsa-sp50.pt,SARSA,50,31,19,0
medium-5x5x5-e100-b64-q-sp100.pt,Q,100,50,50,0
medium-5x5x5-e100-b64-sarsa-sp100.pt,SARSA,100,48,52,0
medium-5x5x5-e20-b128-q-sp10.pt,Q,10,3,7,0
medium-5x5x5-e20-b128-sarsa-sp10.pt,SARSA,10,5,5,0
medium-5x5x5-e20-b128-q-sp50.pt,Q,50,25,25,0
medium-5x5x5-e20-b128-sarsa-sp50.pt,SARSA,50,23,27,0
medium-5x5x5-e20-b128-q-sp100.pt,Q,100,49,51,0
medium-5x5x5-e20-b128-sarsa-sp100.pt,SARSA,100,59,41,0
medium-5x5x5-e20-b256-q-sp10.pt,Q,10,7,3,0
medium-5x5x5-e20-b256-sarsa-sp10.pt,SARSA,10,6,4,0
medium-5x5x5-e20-b256-q-sp50.pt,Q,50,19,31,0
medium-5x5x5-e20-b256-sarsa-sp50.pt,SARSA,50,32,18,0
medium-5x5x5-e20-b256-q-sp100.pt,Q,100,44,56,0
medium-5x5x5-e20-b256-sarsa-sp100.pt,SARSA,100,55,45,0
medium-5x5x5-e20-b64-q-sp10.pt,Q,10,4,6,0
medium-5x5x5-e20-b64-sarsa-sp10.pt,SARSA,10,2,8,0
medium-5x5x5-e20-b64-q-sp50.pt,Q,50,25,25,0
medium-5x5x5-e20-b64-sarsa-sp50.pt,SARSA,50,29,21,0
medium-5x5x5-e20-b64-q-sp100.pt,Q,100,52,48,0
medium-5x5x5-e20-b64-sarsa-sp100.pt,SARSA,100,49,51,0
medium-5x5x5-e50-b128-q-sp10.pt,Q,10,5,5,0
medium-5x5x5-e50-b128-sarsa-sp10.pt,SARSA,10,5,5,0
medium-5x5x5-e50-b128-q-sp50.pt,Q,50,23,27,0
medium-5x5x5-e50-b128-sarsa-sp50.pt,SARSA,50,29,21,0
medium-5x5x5-e50-b128-q-sp100.pt,Q,100,49,50,1
medium-5x5x5-e50-b128-sarsa-sp100.pt,SARSA,100,56,44,0
medium-5x5x5-e50-b256-q-sp10.pt,Q,10,7,3,0
medium-5x5x5-e50-b256-sarsa-sp10.pt,SARSA,10,3,7,0
medium-5x5x5-e50-b256-q-sp50.pt,Q,50,25,25,0
medium-5x5x5-e50-b256-sarsa-sp50.pt,SARSA,50,26,24,0
medium-5x5x5-e50-b256-q-sp100.pt,Q,100,51,49,0
medium-5x5x5-e50-b256-sarsa-sp100.pt,SARSA,100,49,51,0
medium-5x5x5-e50-b64-q-sp10.pt,Q,10,7,3,0
medium-5x5x5-e50-b64-sarsa-sp10.pt,SARSA,10,5,5,0
medium-5x5x5-e50-b64-q-sp50.pt,Q,50,22,28,0
medium-5x5x5-e50-b64-sarsa-sp50.pt,SARSA,50,27,23,0
medium-5x5x5-e50-b64-q-sp100.pt,Q,100,53,46,1
medium-5x5x5-e50-b64-sarsa-sp100.pt,SARSA,100,53,47,0
small-3x3-e100-b128-q-sp10.pt,Q,10,1,1,8
small-3x3-e100-b128-sarsa-sp10.pt,SARSA,10,1,0,9
small-3x3-e100-b128-q-sp50.pt,Q,50,17,0,33
small-3x3-e100-b128-sarsa-sp50.pt,SARSA,50,11,3,36
small-3x3-e100-b128-q-sp100.pt,Q,100,30,0,70
small-3x3-e100-b128-sarsa-sp100.pt,SARSA,100,58,3,39
small-3x3-e100-b256-q-sp10.pt,Q,10,8,2,0
small-3x3-e100-b256-sarsa-sp10.pt,SARSA,10,8,2,0
small-3x3-e100-b256-q-sp50.pt,Q,50,46,2,2
small-3x3-e100-b256-sarsa-sp50.pt,SARSA,50,36,13,1
small-3x3-e100-b256-q-sp100.pt,Q,100,66,28,6
small-3x3-e100-b256-sarsa-sp100.pt,SARSA,100,64,32,4
small-3x3-e100-b64-q-sp10.pt,Q,10,3,1,6
small-3x3-e100-b64-sarsa-sp10.pt,SARSA,10,2,1,7
small-3x3-e100-b64-q-sp50.pt,Q,50,24,3,23
small-3x3-e100-b64-sarsa-sp50.pt,SARSA,50,26,2,22
small-3x3-e100-b64-q-sp100.pt,Q,100,70,4,26
small-3x3-e100-b64-sarsa-sp100.pt,SARSA,100,56,3,41
small-3x3-e20-b128-q-sp10.pt,Q,10,7,2,1
small-3x3-e20-b128-sarsa-sp10.pt,SARSA,10,9,1,0
small-3x3-e20-b128-q-sp50.pt,Q,50,36,6,8
small-3x3-e20-b128-sarsa-sp50.pt,SARSA,50,37,11,2
small-3x3-e20-b128-q-sp100.pt,Q,100,51,44,5
small-3x3-e20-b128-sarsa-sp100.pt,SARSA,100,56,42,2
small-3x3-e20-b256-q-sp10.pt,Q,10,2,1,7
small-3x3-e20-b256-sarsa-sp10.pt,SARSA,10,2,0,8
small-3x3-e20-b256-q-sp50.pt,Q,50,15,3,32
small-3x3-e20-b256-sarsa-sp50.pt,SARSA,50,12,1,37
small-3x3-e20-b256-q-sp100.pt,Q,100,38,1,61
small-3x3-e20-b256-sarsa-sp100.pt,SARSA,100,37,4,59
small-3x3-e20-b64-q-sp10.pt,Q,10,6,2,2
small-3x3-e20-b64-sarsa-sp10.pt,SARSA,10,9,0,1
small-3x3-e20-b64-q-sp50.pt,Q,50,38,10,2
small-3x3-e20-b64-sarsa-sp50.pt,SARSA,50,26,23,1
small-3x3-e20-b64-q-sp100.pt,Q,100,60,34,6
small-3x3-e20-b64-sarsa-sp100.pt,SARSA,100,40,58,2
small-3x3-e50-b128-q-sp10.pt,Q,10,8,0,2
small-3x3-e50-b128-sarsa-sp10.pt,SARSA,10,10,0,0
small-3x3-e50-b128-q-sp50.pt,Q,50,42,3,5
small-3x3-e50-b128-sarsa-sp50.pt,SARSA,50,42,4,4
small-3x3-e50-b128-q-sp100.pt,Q,100,43,9,48
small-3x3-e50-b128-sarsa-sp100.pt,SARSA,100,46,12,42
small-3x3-e50-b256-q-sp10.pt,Q,10,7,1,2
small-3x3-e50-b256-sarsa-sp10.pt,SARSA,10,6,3,1
small-3x3-e50-b256-q-sp50.pt,Q,50,20,4,26
small-3x3-e50-b256-sarsa-sp50.pt,SARSA,50,13,8,29
small-3x3-e50-b256-q-sp100.pt,Q,100,14,31,55
small-3x3-e50-b256-sarsa-sp100.pt,SARSA,100,32,35,33
small-3x3-e50-b64-q-sp10.pt,Q,10,6,1,3
small-3x3-e50-b64-sarsa-sp10.pt,SARSA,10,1,1,8
small-3x3-e50-b64-q-sp50.pt,Q,50,15,4,31
small-3x3-e50-b64-sarsa-sp50.pt,SARSA,50,9,7,34
small-3x3-e50-b64-q-sp100.pt,Q,100,35,10,55
small-3x3-e50-b64-sarsa-sp100.pt,SARSA,100,49,20,31
small-3x3x3-e100-b128-q-sp10.pt,Q,10,2,8,0
small-3x3x3-e100-b128-sarsa-sp10.pt,SARSA,10,4,6,0
small-3x3x3-e100-b128-q-sp50.pt,Q,50,26,24,0
small-3x3x3-e100-b128-sarsa-sp50.pt,SARSA,50,35,15,0
small-3x3x3-e100-b128-q-sp100.pt,Q,100,64,36,0
small-3x3x3-e100-b128-sarsa-sp100.pt,SARSA,100,55,45,0
small-3x3x3-e100-b256-q-sp10.pt,Q,10,5,5,0
small-3x3x3-e100-b256-sarsa-sp10.pt,SARSA,10,4,6,0
small-3x3x3-e100-b256-q-sp50.pt,Q,50,15,35,0
small-3x3x3-e100-b256-sarsa-sp50.pt,SARSA,50,15,35,0
small-3x3x3-e100-b256-q-sp100.pt,Q,100,39,61,0
small-3x3x3-e100-b256-sarsa-sp100.pt,SARSA,100,42,58,0
small-3x3x3-e100-b64-q-sp10.pt,Q,10,7,3,0
small-3x3x3-e100-b64-sarsa-sp10.pt,SARSA,10,8,2,0
small-3x3x3-e100-b64-q-sp50.pt,Q,50,30,20,0
small-3x3x3-e100-b64-sarsa-sp50.pt,SARSA,50,29,21,0
small-3x3x3-e100-b64-q-sp100.pt,Q,100,67,33,0
small-3x3x3-e100-b64-sarsa-sp100.pt,SARSA,100,52,48,0
small-3x3x3-e20-b128-q-sp10.pt,Q,10,8,2,0
small-3x3x3-e20-b128-sarsa-sp10.pt,SARSA,10,10,0,0
small-3x3x3-e20-b128-q-sp50.pt,Q,50,37,13,0
small-3x3x3-e20-b128-sarsa-sp50.pt,SARSA,50,41,9,0
small-3x3x3-e20-b128-q-sp100.pt,Q,100,62,38,0
small-3x3x3-e20-b128-sarsa-sp100.pt,SARSA,100,57,43,0
small-3x3x3-e20-b256-q-sp10.pt,Q,10,9,1,0
small-3x3x3-e20-b256-sarsa-sp10.pt,SARSA,10,8,2,0
small-3x3x3-e20-b256-q-sp50.pt,Q,50,35,15,0
small-3x3x3-e20-b256-sarsa-sp50.pt,SARSA,50,32,18,0
small-3x3x3-e20-b256-q-sp100.pt,Q,100,63,37,0
small-3x3x3-e20-b256-sarsa-sp100.pt,SARSA,100,59,41,0
small-3x3x3-e20-b64-q-sp10.pt,Q,10,9,1,0
small-3x3x3-e20-b64-sarsa-sp10.pt,SARSA,10,9,1,0
small-3x3x3-e20-b64-q-sp50.pt,Q,50,41,9,0
small-3x3x3-e20-b64-sarsa-sp50.pt,SARSA,50,43,7,0
small-3x3x3-e20-b64-q-sp100.pt,Q,100,71,29,0
small-3x3x3-e20-b64-sarsa-sp100.pt,SARSA,100,69,31,0
small-3x3x3-e50-b128-q-sp10.pt,Q,10,6,4,0
small-3x3x3-e50-b128-sarsa-sp10.pt,SARSA,10,5,5,0
small-3x3x3-e50-b128-q-sp50.pt,Q,50,40,10,0
small-3x3x3-e50-b128-sarsa-sp50.pt,SARSA,50,28,22,0
small-3x3x3-e50-b128-q-sp100.pt,Q,100,65,35,0
small-3x3x3-e50-b128-sarsa-sp100.pt,SARSA,100,69,31,0
small-3x3x3-e50-b256-q-sp10.pt,Q,10,7,3,0
small-3x3x3-e50-b256-sarsa-sp10.pt,SARSA,10,3,7,0
small-3x3x3-e50-b256-q-sp50.pt,Q,50,15,35,0
small-3x3x3-e50-b256-sarsa-sp50.pt,SARSA,50,27,23,0
small-3x3x3-e50-b256-q-sp100.pt,Q,100,32,68,0
small-3x3x3-e50-b256-sarsa-sp100.pt,SARSA,100,41,59,0
small-3x3x3-e50-b64-q-sp10.pt,Q,10,8,2,0
small-3x3x3-e50-b64-sarsa-sp10.pt,SARSA,10,6,4,0
small-3x3x3-e50-b64-q-sp50.pt,Q,50,41,9,0
small-3x3x3-e50-b64-sarsa-sp50.pt,SARSA,50,37,13,0
small-3x3x3-e50-b64-q-sp100.pt,Q,100,58,42,0
small-3x3x3-e50-b64-sarsa-sp100.pt,SARSA,100,82,18,0
small-4x4-e100-b128-q-sp10.pt,Q,10,0,1,9
small-4x4-e100-b128-sarsa-sp10.pt,SARSA,10,0,1,9
small-4x4-e100-b128-q-sp50.pt,Q,50,5,7,38
small-4x4-e100-b128-sarsa-sp50.pt,SARSA,50,9,19,22
small-4x4-e100-b128-q-sp100.pt,Q,100,9,22,69
small-4x4-e100-b128-sarsa-sp100.pt,SARSA,100,8,7,85
small-4x4-e100-b256-q-sp10.pt,Q,10,0,2,8
small-4x4-e100-b256-sarsa-sp10.pt,SARSA,10,0,3,7
small-4x4-e100-b256-q-sp50.pt,Q,50,1,17,32
small-4x4-e100-b256-sarsa-sp50.pt,SARSA,50,4,9,37
small-4x4-e100-b256-q-sp100.pt,Q,100,2,39,59
small-4x4-e100-b256-sarsa-sp100.pt,SARSA,100,5,46,49
small-4x4-e100-b64-q-sp10.pt,Q,10,1,0,9
small-4x4-e100-b64-sarsa-sp10.pt,SARSA,10,1,1,8
small-4x4-e100-b64-q-sp50.pt,Q,50,4,5,41
small-4x4-e100-b64-sarsa-sp50.pt,SARSA,50,3,4,43
small-4x4-e100-b64-q-sp100.pt,Q,100,7,5,88
small-4x4-e100-b64-sarsa-sp100.pt,SARSA,100,5,7,88
small-4x4-e20-b128-q-sp10.pt,Q,10,0,0,10
small-4x4-e20-b128-sarsa-sp10.pt,SARSA,10,0,0,10
